Summary for minimax_solver_results.csv

Score        min=3108, max=27160, avg=14559.44
Max_Tile     min=256, max=2048, avg=1018.88
Total_Moves  min=258, max=1419, avg=856.62

Directional moves:
  moves_left   min=38, max=212, avg=139.94
  moves_right  min=88, max=498, avg=283.00
  moves_up     min=53, max=257, avg=138.00
  moves_down   min=78, max=469, avg=294.68

Best score run:  {'score': 27160, 'max_tile': 2048, 'total_moves': 1419, 'moves_left': 198, 'moves_right': 494, 'moves_up': 257, 'moves_down': 469}
Worst score run: {'score': 3108, 'max_tile': 256, 'total_moves': 258, 'moves_left': 38, 'moves_right': 88, 'moves_up': 53, 'moves_down': 78}
